Menopausal Stage,Bothersomeness of Night Sweats,Night Sweats,Number of Night Sweats,Sample Size
Pre-menopause,-0.09142441607037098,-0.28100666324747087,-0.04373299138700974,2002
Early Peri,0.009902298855216903,-0.10230706982566636,-0.014339741821780064,6060
Late Peri,0.017711147220625747,0.23224354863275976,0.0036522024588510754,1298
Post-menopause,-0.018804614835735676,0.1351593776172343,0.0128903061239677,5504
Surgical,0.23763759390829728,0.15805394276004958,0.11799770858180723,836
